Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
Shift4 Payments,Shift4 Payments is the leader in secure payment processing solutions.,https://www.crunchbase.com/organization/shift4-payments,#REF!,,"Allentown, Pennsylvania, United States",$10M to $50M,1994,"Financial Services, Payments",501-1000,IPO,,,,,,0,1,0.33,1,0.665,Mature
Basiq,Basiq is an aggregation platform for acquiring financial data that provides access to financial institutions through APIs..,https://www.crunchbase.com/organization/basiq,#REF!,,"Sydney, New South Wales, Australia",$1M to $10M,2016,"Banking, Finance, Financial Services, FinTech",,,12/09/2019,,Venture - Series Unknown,,"Salesforce Ventures, National Australia Bank, Reinventure, NAB Ventures",,0.5,0.66,0,0.48,Emerging
Paratic,Paratic is a Banking Application that manage all Banks from a single screen.,https://www.crunchbase.com/organization/paratic,#REF!,,"Besiktas, Istanbul, Turkey",,,Financial Services,,Seed,04/11/2020,28417,Seed,28418,Alesta Yatırım,,1,0,0,0.3,Nascent
I2c,I2c provides the infrastructure that powers the next generation of commerce.,https://www.crunchbase.com/organization/i2c,#REF!,,"Redwood Shores, California, United States",$100M to $500M,2001,"Banking, Credit Cards, Mobile Payments, Payments, Transaction Processing",1001-5000,,,,,,,,1,0.33,1,0.665,Mature
Volly,"Volly focuses on marketing automation, lending technology, CRM solutions and application development for banks and mortgage industries.",https://www.crunchbase.com/organization/volly-2b1b,#REF!,,"Woburn, Massachusetts, United States",$1M to $10M,2013,"Apps, CRM, Information Technology, Marketing",101-250,,,,,,,,0.5,0.33,1,0.515,Emerging
Rebank,The best banking experience for high-growth startups,https://www.crunchbase.com/organization/rebank,#REF!,,"London, England, United Kingdom",$1M to $10M,2018,"Financial Services, FinTech, Software",,Seed,17/12/2019,2818000,Seed,2818000,"Y Combinator, ADV, Oriza Ventures, Jude Gomila, PV Seed Fund",,0.5,0,0,0.15,Nascent
MeridianLink,"MeridianLink is the provider of Loan Origination System & Digital Lending Platform for Banks, Credit Unions, & Other Financial Institutions.",https://www.crunchbase.com/organization/meridianlink,#REF!,,"Costa Mesa, California, United States",,1998,"Banking, Financial Services, Information Technology",251-500,M&A,,,,,,0,1,0.33,1,0.665,Mature
FinBox,FinBox digitizes customer journeys for Banks and NBFCs & to help them underwrite NTC customers using alternative data from the smartphone.,https://www.crunchbase.com/organization/finbox,#REF!,,"Bangalore, Karnataka, India",,2015,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech",,Seed,03/10/2019,,Seed,,"Arali Ventures, Anup Pai",,0.5,0,0,0.15,Nascent
OpenPayd,OpenPayd is a leading global payments and banking-as-a-service platform for the digital economy.,https://www.crunchbase.com/organization/openpayd,#REF!,,"London, England, United Kingdom",,2015,"Finance, Financial Services, FinTech",51-100,,,,,,,,0.5,0.33,1,0.515,Emerging
Accuity,Accuity offers a suite of innovative solutions for payments and compliance professionals.,https://www.crunchbase.com/organization/accuity-2,#REF!,,"Evanston, Illinois, United States",,,"Banking, Enterprise Software, Financial Services, Information Technology, Software",501-1000,M&A,,,,,,128,1,0.33,1,0.665,Mature
Fabrick,"Fabrick is a  financial services company that enables exchange between players that discover, collaborate, and create innovative solutions.",https://www.crunchbase.com/organization/fabrick,#REF!,,"Milan, Lombardia, Italy",,,"Banking, FinTech, Information Technology, Insurance, Internet, Venture Capital",,,,,,,,0,1,0.33,0,0.465,Emerging
Kaleido,Kaleido’s Blockchain Business Cloud is a digital transformation & enterprise blockchain platform for modern business networks.,https://www.crunchbase.com/organization/kaleido,#REF!,,"Raleigh, North Carolina, United States",,2017,"Blockchain, Enterprise Applications, Enterprise Software, Information Technology, SaaS, Software",,Private Equity,15/05/2018,,Private Equity,,,,0.5,0.66,0,0.48,Emerging
"Verifi, Inc.",Verifii is a SaaS-based platform providing global electronic payment and risk management solutions for card-not-present merchants.,https://www.crunchbase.com/organization/verifi,#REF!,,"Los Angeles, California, United States",$10M to $50M,2005,"Financial Services, Payments, Risk Management, SaaS",51-100,M&A,,,,,,8,1,0.33,1,0.665,Mature
BOLTS Technologies,"BOLTS Technologies is a developer of boltsOPEN, a next-generation digital account opening solution.",https://www.crunchbase.com/organization/bolts-technologies,#REF!,,"Bethlehem, Pennsylvania, United States",,2014,"Financial Services, Internet",,M&A,05/06/2015,501875,Seed,501875,,,0.5,0,0,0.15,Nascent
Banking Circle,Banking Circle offers its Members the capability to make and receive cross-border transfers in seconds at a low cost.,https://www.crunchbase.com/organization/bankingcircle,#REF!,,"Luxembourg, Luxembourg, Luxembourg",,2013,"B2B, Banking, Financial Services, FinTech, Lending, Payments, Transaction Processing",251-500,M&A,,,,,,,0.5,0.33,1,0.515,Emerging
Bankable,"Bankable develops white-label payment solutions including e-wallets, remittance services, P2P money transfers and prepaid card programmes.",https://www.crunchbase.com/organization/bankable,#REF!,,"London, England, United Kingdom",$1M to $10M,2010,"Banking, Financial Services, FinTech, Payments",,,01/05/2019,,Corporate Round,,Visa,,1,0.66,0,0.63,Mature
NovoPayment,NovoPayment accelerates financial innovation globally via API-enabled Banking as a Service (BaaS) platform.,https://www.crunchbase.com/organization/novopayment,#REF!,,"Miami, Florida, United States",$10M to $50M,2004,"Financial Services, FinTech, PaaS, Payments, Software",101-250,,03/12/2019,,Undisclosed,,Visa,,1,0,1,0.5,Emerging
Leveris,"A banking technology company who have built a core banking platform that enables the rapid launch of low-cost, digital-first banks",https://www.crunchbase.com/organization/leveris,#REF!,,"Dublin, Dublin, Ireland",$10M to $50M,2016,"Banking, Finance, Financial Services, FinTech, Lending",101-250,,,,,,,,0.5,0.33,1,0.515,Emerging
Finxera,Finxera offers an API-driven approach that enables clients to seamlessly integrate banking services into their applications.,https://www.crunchbase.com/organization/finxera,#REF!,,"San Jose, California, United States",$1M to $10M,2002,"Banking, Computer, Enterprise Software, Finance, Internet, Software",,M&A,20/04/2009,6000000,Series B,10000000,"Foundation Capital, Founder Collective, Floodgate, Baseline Ventures, Harrison Metal",,1,1,0,0.8,Mature
Q2,"Q2 is a company specializing in the development, marketing and sales of compatible spare parts for use in copier.",https://www.crunchbase.com/organization/q2,#REF!,,"Burnsville, Minnesota, United States",Less than $1M,2007,"Advertising, Marketing, Printing, Sales",101-250,,,,,,,,1,0.33,1,0.665,Mature
Infinicept,Infinicept allows companies to take control of their payments by offering an end-to-end payment facilitator platform.,https://www.crunchbase.com/organization/infinicept,#REF!,,"Denver, Colorado, United States",$1M to $10M,2011,"Financial Services, FinTech, Payments",51-100,,17/11/2020,,Venture - Series Unknown,,"Mastercard, MissionOG",0,1,0.66,1,0.83,Mature
Alogent Corporation,Alogent is the market leader in providing solutions for deposit automation to some of the largest banks in the world.,https://www.crunchbase.com/organization/alogent-corporation,#REF!,,"Peachtree City, Georgia, United States",,1995,"Computer, Software",1001-5000,M&A,,,,,,5,1,0.33,1,0.665,Mature
Makerpad,Makerpad teaches its users how to build projects and automate at work without having to write code.,https://www.crunchbase.com/organization/makerpad,#REF!,,"Cardiff, Cardiff, United Kingdom",,2019,,,M&A,01/01/2020,,Venture - Series Unknown,,Tiny Capital,,0.5,0.66,0,0.48,Emerging
Zenmonics Inc.,"Zenmonics is a financial services company that offers financial services, multi-channel integration, and mobile development services.",https://www.crunchbase.com/organization/zenmonics-inc,#REF!,,"Charlotte, North Carolina, United States",$10M to $50M,2007,Financial Services,251-500,,,,,,,0,1,0.33,1,0.665,Mature
BankiFi,BankiFi is a bussiness technology firm.,https://www.crunchbase.com/organization/bankifi,#REF!,,"Manchester, Manchester, United Kingdom",,2018,"Financial Services, FinTech",,Seed,22/09/2020,,Seed,,"Nationwide Building Society, Tech Nation Fintech",,0.5,0,0,0.15,Nascent
CoinGate,"CoinGate is easy-to-use gateway to Bitcoin, Litecoin and 50+ other cryptocurrencies. Integration via API and e-commerce plug-ins!",https://www.crunchbase.com/organization/coingate-836e,#REF!,,"Vilnius, Vilniaus Apskritis, Lithuania",Less than $1M,2014,"Bitcoin, Cryptocurrency, E-Commerce, FinTech, Payments",51-100,,,,,,,,0.5,0.33,1,0.515,Emerging
Authorize.Net,"Authorize.Net is a payment gateway for e-commerce, retail, and mobile payments.",https://www.crunchbase.com/organization/authorize-net,#REF!,,"American Fork, Utah, United States",$10M to $50M,1996,"E-Commerce, Mobile Payments, Payments, Retail Technology, Small and Medium Businesses",501-1000,M&A,01/04/1999,,Venture - Series Unknown,,Insight Partners,,1,0.66,1,0.83,Mature
Calyx Software,"Calyx Software is one of the top providers of affordable mortgage solutions for banks, credit unions, mortgage bankers and brokers.",https://www.crunchbase.com/organization/calyx-software,#REF!,,"San Jose, California, United States",$10M to $50M,1991,"Business Information Systems, Financial Services, Payments, Software",101-250,,,,,,,,1,0.33,1,0.665,Mature
Pi Pay,Pi Pay is the most innovative and complete cashless payment platform in Cambodia.,https://www.crunchbase.com/organization/pi-pay,#REF!,,"Phnom Penh, Phnum Penh, Cambodia",,2016,"Financial Services, Payments",,,,,,,,,0.5,0.33,0,0.315,Nascent
Due,Due makes retirement simple.,https://www.crunchbase.com/organization/due,#REF!,,"Palo Alto, California, United States",$1M to $10M,2021,"Financial Services, Insurance, Retirement",,,,,,,,,0,0.33,0,0.165,Nascent
Vyne,"Vyne serves the health services ecosystem wherever providers, patients, and payers interact.",https://www.crunchbase.com/organization/vyne,#REF!,,"Dunwoody, Georgia, United States",$10M to $50M,1997,"Health Care, Medical, Software",51-100,M&A,09/01/2009,,Venture - Series Unknown,,Polaris Partners,,1,0.66,1,0.83,Mature
FileMaker,"FileMaker delivers innovative software to easily create custom business apps for the iPad, iPhone, Windows, Mac and the web.",https://www.crunchbase.com/organization/filemaker,#REF!,,"Santa Clara, California, United States",$10M to $50M,1998,"Cloud Computing, Computer, Developer Platform, Information Services, Information Technology, Software",501-1000,,,,,,,0,1,0.33,1,0.665,Mature
"SavvyMoney, Inc.",SavvyMoney's mission is to empower people to take control of their financial future with actionable advice about their credit.,https://www.crunchbase.com/organization/savvymoney-inc,#REF!,,"Pleasanton, California, United States",,2009,"Credit Bureau, Credit Cards, Finance, Financial Services, FinTech",,Late Stage Venture,23/09/2016,,Series D,2000000,"TransUnion, Tugboat Ventures, New Cycle Capital",0,1,1,0,0.8,Mature
collectAI,"collectAI is a software platform providing digitised, AI-based payments and collection services to manage accounts receivables.",https://www.crunchbase.com/organization/collectai,#REF!,,"Hamburg, Hamburg, Germany",$1M to $10M,2016,"Artificial Intelligence, Debt Collections, Machine Learning, Software",,,,,,,,0,0.5,0.33,0,0.315,Nascent
YAPEAL,YAPEAL is developing a blockchain-inspired digital-to-the-core and cloud-native banking platform for the Swiss Retail banking market.,https://www.crunchbase.com/organization/yapeal,#REF!,,"Zürich, Zurich, Switzerland",,2018,"Banking, Financial Services",,,13/01/2021,,Corporate Round,,"Blufolio, Abacus Research",0,0.5,0.66,0,0.48,Emerging
Texas Capital Bank,"At Texas Capital Bank, we are driven by a single-minded and unwavering mission: serving Texas businesses and the prominent individuals and",https://www.crunchbase.com/organization/texas-capital-bank,#REF!,,"Dallas, Texas, United States",$100M to $500M,1998,Finance,1001-5000,IPO,,,,,,,1,0.33,1,0.665,Mature
Digital Insight,Digital Insight provides outsourced online financial management solutions for the U.S. mid-market banks and credit unions.,https://www.crunchbase.com/organization/digital-insight,#REF!,,"Westlake Village, California, United States",,1995,"Banking, Financial Services, Mobile, Payments",501-1000,M&A,15/04/2014,,Venture - Series Unknown,,HarbourVest Partners,0,1,0.66,1,0.83,Mature
ONPEX,ONPEX is a Luxembourg-regulated Payment Institution that provides Payment- and Banking-as-a-Service solutions.,https://www.crunchbase.com/organization/onpex,#REF!,,"Luxembourg, Luxembourg, Luxembourg",$1M to $10M,2013,"Banking, Financial Services, FinTech, Payments",51-100,M&A,26/02/2019,,Series A,,FinLab,,0.5,0.33,1,0.515,Emerging
VibePay,"VibePay is an application enabling consumers to pay, and businesses to get paid, wherever they are - in the app, on social and at checkout.",https://www.crunchbase.com/organization/vibepay,#REF!,,"London, England, United Kingdom",$1M to $10M,2017,"Finance, Financial Services, Mobile Payments, Payments",,,,,,,,0,0.5,0.33,0,0.315,Nascent
TransFirst,Credit Card Processing/Merchant Accounts,https://www.crunchbase.com/organization/transfirst,#REF!,,"Hauppauge, New York, United States",,1995,"Credit Cards, Payments, Transaction Processing",501-1000,M&A,,,,,,,1,0.33,1,0.665,Mature
Yave (previously Smart Lending),Yave (previously Smart Lending) is the first online mortgage originator in Mexico.,https://www.crunchbase.com/organization/smart-lending-mexico,#REF!,,"Mexico City, Distrito Federal, Mexico",,2017,"FinTech, Lending, Real Estate",,,,,,,,,0.5,0.33,0,0.315,Nascent
Toshl Inc.,Toshl helps you keep your finances in shape.,https://www.crunchbase.com/organization/toshl-inc,#REF!,,"Mountain View, California, United States",$1M to $10M,2012,"Financial Services, FinTech, Mobile, Personal Finance",,Seed,09/02/2012,,Seed,,500 Startups,0,0.5,0,0,0.15,Nascent
Interchecks,Interchecks makes payments and 1099 tax compliance easy.,https://www.crunchbase.com/organization/interchecks,#REF!,,"Delray Beach, Florida, United States",$1M to $10M,2016,FinTech,,,03/11/2020,,Venture - Series Unknown,,FINLAB,0,0.5,0.66,0,0.48,Emerging
